key,en,es,fr,de,pt,th,vi,id,ms,fil,zh
admin.adjust.confirm.amount,"""• Delta: {amount}""","""• Cambio: {amount}""","""• Variation : {amount}""","""• Änderung: {amount}""",,,"""• Thay đổi: {amount}""",,,,"""• 变动：{amount}"""
admin.adjust.confirm.asset,"""• Asset: {token}""","""• Activo: {token}""","""• Actif : {token}""","""• Asset: {token}""",,,"""• Tài sản: {token}""",,,,"""• 资产：{token}"""
admin.adjust.confirm.memo,"""• Note: {memo}""","""• Nota: {memo}""","""• Note : {memo}""","""• Notiz: {memo}""",,,"""• Ghi chú: {memo}""",,,,"""• 备注：{memo}"""
admin.adjust.confirm.title,"""✅ Confirm adjustment""","""✅ Confirma el ajuste""","""✅ Confirme l’ajustement""","""✅ Anpassung bestätigen""",,,"""✅ Xác nhận điều chỉnh""",,,,"""✅ 请确认以下调整"""
admin.adjust.confirm.user,"""• User: {user}""","""• Usuario: {user}""","""• Utilisateur : {user}""","""• Nutzer: {user}""",,,"""• Người dùng: {user}""",,,,"""• 用户：{user}"""
admin.adjust.errors.bad_amount,"""❌ Invalid amount""","""❌ Importe inválido""","""❌ Montant invalide""","""❌ Ungültiger Betrag""",,,"""❌ Số tiền không hợp lệ""",,,,"""❌ 金额格式不正确，请重新输入"""
admin.adjust.errors.bad_user,"""❌ Invalid user ID or @username""","""❌ Formato inválido. Envía ID o @usuario""","""❌ Format invalide. Envoie un ID ou @nom""","""❌ Ungültiges Format. ID oder @Nutzername senden""",,,"""❌ Định dạng sai. Gửi ID hoặc @username""",,,,"""❌ 格式不正确，请输入用户ID或 @用户名"""
admin.adjust.errors.zero,"""❌ Value cannot be 0""","""❌ El valor no puede ser 0""","""❌ La valeur ne peut pas être 0""","""❌ Wert darf nicht 0 sein""",,,"""❌ Giá trị không thể là 0""",,,,"""❌ 数值不能为 0"""
admin.adjust.execute,Execute,,,,,,,,,,执行
admin.adjust.fail,"""❌ Adjustment failed""","""❌ Falló el ajuste. Intenta de nuevo.""","""❌ Échec. Réessaie.""","""❌ Anpassung fehlgeschlagen. Später erneut versuchen.""",,,"""❌ Điều chỉnh thất bại. Thử lại sau.""",,,,"""❌ 余额调整失败，请稍后再试。"""
admin.adjust.fail_count,Fail count,,,,,,,,,,失败条数
admin.adjust.insufficient,Insufficient balance,,,,,,,,,,余额不足
admin.adjust.memo.ask,"""📝 Optional note (or send 'skip')""","""📝 Nota opcional (o ‘skip’)""","""📝 Note optionnelle (ou ‘skip’)""","""📝 Optionale Notiz (oder ‚skip‘)""",,,"""📝 Ghi chú (tùy chọn, hoặc gửi 'skip')""",,,,"""📝 可填写备注（或发送 'skip' 略过）"""
admin.adjust.note,Note,,,,,,,,,,备注
admin.adjust.preview,Preview,,,,,,,,,,预览
admin.adjust.success,"""✅ Adjustment completed""","""✅ Ajuste completado""","""✅ Ajustement terminé""","""✅ Anpassung abgeschlossen""",,,"""✅ Đã điều chỉnh xong""",,,,"""✅ 余额调整完成"""
admin.adjust.success_count,Success count,,,,,,,,,,成功条数
admin.adjust.title,Balance Adjustment,,,,,,,,,,余额调整
admin.adjust.users,"Users (ID/@, multiple separated)",,,,,,,,,,用户（ID/@，多项分隔）
admin.adjust_failed,"""❌ Adjustment failed: {reason}""","""❌ Falló el ajuste: {reason}""","""❌ Échec : {reason}""","""❌ Anpassung fehlgeschlagen: {reason}""",,,"""❌ Điều chỉnh thất bại: {reason}""",,,,"""❌ 调整失败：{reason}"""
admin.adjust_success,"""✅ Adjusted {amount} {token} to user {uid}""","""✅ Ajustados {amount} {token} al usuario {uid}""","""✅ Ajusté {amount} {token} pour l’utilisateur {uid}""","""✅ {amount} {token} an Nutzer {uid} angepasst""",,,"""✅ Đã điều chỉnh {amount} {token} cho người dùng {uid}""",,,,"""✅ 已调整 {amount} {token} 给用户 {uid}"""
admin.approvals.approve,Approve,,,,,,,,,,通过
admin.approvals.need_two_admins,Two admins required,,,,,,,,,,需要两名管理员确认
admin.approvals.reject,Reject,,,,,,,,,,拒绝
admin.approvals.title,Approvals,,,,,,,,,,高危操作审批
admin.audit.detail,Detail,,,,,,,,,,详情
admin.audit.operation,Operation,,,,,,,,,,操作
admin.audit.operator,Operator,,,,,,,,,,操作人
admin.audit.title,Audit Log,,,,,,,,,,审计日志
admin.common.actions,Actions,,,,,,,,,,操作
admin.common.back,Back,,,,,,,,,,返回
admin.common.cancel,Cancel,,,,,,,,,,取消
admin.common.confirm,Confirm,,,,,,,,,,确认
admin.common.copy,Copy,,,,,,,,,,复制
admin.common.created_at,Created at,,,,,,,,,,创建时间
admin.common.delete,Delete,,,,,,,,,,删除
admin.common.disabled,Disabled,,,,,,,,,,已停用
admin.common.download,Download,,,,,,,,,,下载
admin.common.edit,Edit,,,,,,,,,,编辑
admin.common.enabled,Enabled,,,,,,,,,,已启用
admin.common.off,Off,,,,,,,,,,关
admin.common.on,On,,,,,,,,,,开
admin.common.preview,Preview,,,,,,,,,,预览
admin.common.refresh,Refresh,,,,,,,,,,刷新
admin.common.reset,Reset,,,,,,,,,,重置
admin.common.save,Save,,,,,,,,,,保存
admin.common.search,Search,,,,,,,,,,搜索
admin.common.status,Status,,,,,,,,,,状态
admin.common.title,Admin,,,,,,,,,,后台管理
admin.common.updated_at,Updated at,,,,,,,,,,更新时间
admin.covers.add_fail,"""❌ Upload failed: {reason}""","""❌ Error al subir: {reason}""","""❌ Échec d’upload : {reason}""","""❌ Upload fehlgeschlagen: {reason}""",,,"""❌ Tải lên thất bại: {reason}""",,,,"""❌ 上传失败：{reason}"""
admin.covers.add_ok,"""✅ Cover added ID={id}""","""✅ Portada añadida ID={id}""","""✅ Couverture ajoutée ID={id}""","""✅ Cover hinzugefügt ID={id}""",,,"""✅ Đã thêm ảnh bìa ID={id}""",,,,"""✅ 已添加红包封面 ID={id}"""
admin.covers.back_to_mgr,"""⬅️ Back""","""⬅️ Volver a portadas""","""⬅️ Retour""","""⬅️ Zurück zur Verwaltung""",,,"""⬅️ Quay lại quản lý bìa""",,,,"""⬅️ 返回封面管理"""
admin.covers.copy_fail_hint,"Possible reasons:
• Bot not in the channel or lacks permissions;
• Wrong channel ID (should start with -100).","Posibles causas:
• El bot no está en el canal o no puede publicar;
• ID de canal incorrecta (debe empezar por -100).","Causes possibles :
• Bot absent du canal ou sans droit de publier ;
• ID de canal incorrect (doit commencer par -100).","Mögliche Ursachen:
• Bot nicht im Kanal oder ohne Senderechte;
• Falsche Kanal-ID (sollte mit -100 beginnen).",,,"Nguyên nhân có thể:
• Bot chưa vào kênh hoặc không có quyền đăng;
• ID kênh sai (phải bắt đầu bằng -100).",,,,"可能原因：
• 机器人未加入频道或没有“发布消息”权限；
• 频道ID填写错误（应为以 -100 开头的数值ID）。"
admin.covers.delete_btn,"""🗑 Delete cover""","""🗑 Eliminar portada""","""🗑 Supprimer""","""🗑 Cover löschen""",,,"""🗑 Xóa ảnh bìa""",,,,"""🗑 删除封面"""
admin.covers.delete_fail,"""❌ Cover #{id} not found""","""❌ Portada #{id} no encontrada""","""❌ Couverture #{id} introuvable""","""❌ Cover #{id} nicht gefunden""",,,"""❌ Không tìm thấy ảnh bìa #{id}""",,,,"""❌ 未找到红包封面 #{id}"""
admin.covers.delete_ok,"""✅ Deleted cover #{id}""","""✅ Portada #{id} eliminada""","""✅ Couverture #{id} supprimée""","""✅ Cover #{id} gelöscht""",,,"""✅ Đã xóa ảnh bìa #{id}""",,,,"""✅ 已删除红包封面 #{id}"""
admin.covers.delete_pick,"""Choose a cover to delete:""","""Elige la portada a eliminar:""","""Choisis la couverture à supprimer :""","""Wähle ein Cover zum Löschen:""",,,"""Chọn ảnh bìa để xóa:""",,,,"""请选择要删除的封面："""
admin.covers.empty,No covers,"""📭 No hay portadas.""","""📭 Aucune couverture.""","""📭 Keine Cover vorhanden.""",,,"""📭 Chưa có ảnh bìa.""",,,,暂无封面
admin.covers.file_label,File,,,,,,,,,,选择文件
admin.covers.list,List,,,,,,,,,,封面列表
admin.covers.list_btn,"""📚 View covers""","""📚 Lista de portadas""","""📚 Voir la liste""","""📚 Coverliste""",,,"""📚 Danh sách ảnh bìa""",,,,"""📚 查看封面列表"""
admin.covers.menu_desc,"""🎨 Manage packet covers\nChoose an action:""","""🎨 Gestión de portadas\nElige una acción:""","""🎨 Gestion des couvertures\nChoisis une action :""","""🎨 Coververwaltung\nBitte Aktion wählen:""",,,"""🎨 Quản lý ảnh bìa\nHãy chọn thao tác:""",,,,"""🎨 管理红包封面\n请选择操作："""
admin.covers.menu_title,"""🎨 Manage Covers""","""🎨 Gestionar portadas""","""🎨 Gérer les couvertures""","""🎨 Cover verwalten""",,,"""🎨 Quản lý ảnh bìa phong bao""",,,,"""🎨 管理红包封面"""
admin.covers.no_channel,"""❌ COVER_CHANNEL_ID not configured.""","""❌ COVER_CHANNEL_ID no configurado en settings.""","""❌ COVER_CHANNEL_ID non configuré dans settings.""","""❌ COVER_CHANNEL_ID in settings nicht konfiguriert.""",,,"""❌ Chưa cấu hình COVER_CHANNEL_ID trong settings.""",,,,"""❌ 尚未配置素材频道 ID（settings.COVER_CHANNEL_ID）。请先在配置中设置。"""
admin.covers.preview_fail,"""❌ Preview failed.""","""❌ Vista previa fallida.""","""❌ Échec de l’aperçu.""","""❌ Vorschau fehlgeschlagen.""",,,"""❌ Xem trước thất bại.""",,,,"""❌ 预览失败。"""
admin.covers.preview_fail_hint,"Possible reasons:
• Bot not in the channel or lacks “Post Messages”;
• Wrong channel ID;
• Record missing a valid file_id.","Posibles causas:
• El bot no está en el canal o no puede publicar;
• ID de canal incorrecta;
• Registro sin file_id válida.","Causes possibles :
• Bot absent du canal ou sans droit de publier ;
• ID de canal erroné ;
• Enregistrement sans file_id valide.","Mögliche Ursachen:
• Bot nicht im Kanal oder ohne Senderechte;
• Kanal-ID fehlerhaft;
• Eintrag ohne gültige file_id.",,,"Nguyên nhân có thể:
• Bot chưa vào kênh hoặc không có quyền đăng;
• Sai ID kênh;
• Bản ghi thiếu file_id hợp lệ.",,,,"可能原因：
• 机器人未加入频道或没有“发布消息”权限；
• 频道ID错误；
• 记录缺少有效的 file_id。"
admin.covers.preview_ok,"""✅ Preview sent""","""✅ Vista previa enviada""","""✅ Aperçu envoyé""","""✅ Vorschau gesendet""",,,"""✅ Đã gửi bản xem trước""",,,,"""✅ 已发送预览"""
admin.covers.remove,Remove,,,,,,,,,,删除封面
admin.covers.title,Cover Library,,,,,,,,,,封面库
admin.covers.title_label,Title and #tags,,,,,,,,,,标题与#标签
admin.covers.toggle,Toggle,,,,,,,,,,上下架
admin.covers.upload,Upload,,,,,,,,,,上传封面
admin.covers.upload_ask,"""Send an image as a packet cover. You may add a title.""","""Envía una imagen como portada. Puedes añadir título.""","""Envoie une image comme couverture. Tu peux ajouter un titre.""","""Sende ein Bild als Cover. Optional mit Titel.""",,,"""Hãy gửi một ảnh làm ảnh bìa. Có thể kèm tiêu đề.""",,,,"""请发送一张图片作为红包封面，可附加标题说明。"""
admin.covers.upload_btn,"""➕ Upload cover""","""➕ Subir portada""","""➕ Importer une couverture""","""➕ Cover hochladen""",,,"""➕ Tải ảnh bìa""",,,,"""➕ 上传封面"""
admin.dashboard.envelopes_active,Active packets,,,,,,,,,,进行中红包
admin.dashboard.ledger_7d_amount,Last-7-day amount,,,,,,,,,,近7日流水金额
admin.dashboard.ledger_7d_count,Last-7-day entries,,,,,,,,,,近7日流水笔数
admin.dashboard.recharge_pending,Pending orders,,,,,,,,,,待支付订单
admin.dashboard.recharge_success,Successful orders,,,,,,,,,,成功订单
admin.dashboard.users_total,Users,,,,,,,,,,用户总数
admin.envelopes.claims,Claims,,,,,,,,,,领取明细
admin.envelopes.id,Packet ID,,,,,,,,,,红包ID
admin.envelopes.lucky,Best Luck,,,,,,,,,,幸运王
admin.envelopes.summary,Overview,,,,,,,,,,概览
admin.envelopes.title,Packet Details,,,,,,,,,,红包详情
admin.errors.no_permission,No permission,,,,,,,,,,无权限
admin.errors.not_found,Not found,,,,,,,,,,资源不存在
admin.errors.unknown,Unknown error,,,,,,,,,,出错了，请稍后再试
admin.errors.validation,Invalid parameters,,,,,,,,,,参数不合法
admin.export.all_users_ledger,Full export (users + ledger),,,,,,,,,,全量导出（用户+流水）
admin.export.done,Export done,,,,,,,,,,导出完成
admin.export.ledger_only,Ledger only,,,,,,,,,,仅流水
admin.export.selected_users,Selected users,,,,,,,,,,指定用户导出
admin.export.start,Start export,,,,,,,,,,开始导出
admin.export.title,Data Export,,,,,,,,,,数据导出
admin.export.users_label,"Specific users (ID or @username, comma separated)",,,,,,,,,,指定用户（ID 或 @用户名，逗号分隔）
admin.export.users_only,Users only,,,,,,,,,,仅用户
admin.export_all,"""📊 Full export""","""📊 Completo""","""📊 Complet""","""📊 Komplett""",,,"""📊 Toàn bộ""",,,,"""📊 全量导出"""
admin.export_done,"""✅ Export finished. Files:""","""✅ Exportación lista. Archivo abajo:""","""✅ Export terminé. Fichier ci-dessous :""","""✅ Export fertig. Datei unten:""",,,"""✅ Xuất xong. Tệp bên dưới:""",,,,"""✅ 导出完成，文件如下："""
admin.export_empty,"""📭 No data""","""📭 Sin datos""","""📭 Aucune donnée""","""📭 Keine Daten""",,,"""📭 Không có dữ liệu""",,,,"""📭 查无数据"""
admin.export_failed,"""❌ Export failed: {reason}""","""❌ Falló: {reason}""","""❌ Échec : {reason}""","""❌ Fehlgeschlagen: {reason}""",,,"""❌ Xuất thất bại: {reason}""",,,,"""❌ 生成失败：{reason}"""
admin.export_intro,"""Choose export scope""","""Elige el alcance de exportación""","""Choisis une portée d’export""","""Exportumfang wählen""",,,"""Chọn phạm vi xuất""",,,,"""请选择导出范围"""
admin.export_service_missing,"""❌ Export service missing (services/export_service.py)""","""❌ Servicio de exportación no disponible (falta services/export_service.py)""","""❌ Service d’export indisponible (services/export_service.py manquant)""","""❌ Exportdienst nicht verfügbar (services/export_service.py fehlt)""",,,"""❌ Dịch vụ xuất không khả dụng (thiếu services/export_service.py)""",,,,"""❌ 导出服务不可用（缺少 services/export_service.py）"""
admin.export_user,"""👤 By user""","""👤 Por usuario""","""👤 Par utilisateur""","""👤 Nach Nutzer""",,,"""👤 Theo người dùng""",,,,"""👤 按用户导出"""
admin.filters.active_since,Active since,,,,,,,,,,最近活跃
admin.filters.balance_range,Balance range,,,,,,,,,,余额区间
admin.filters.created_between,Registered between,,,,,,,,,,注册时间
admin.filters.invited_by,Invited by,,,,,,,,,,邀请人
admin.filters.title,Advanced Filters,,,,,,,,,,高级筛选
admin.filters.token,Token,,,,,,,,,,币种
admin.login.blocked,You are not an admin,,,,,,,,,,你没有管理员权限
admin.login.invalid,Wrong username or password,,,,,,,,,,账号或密码不正确
admin.login.otp_hint,2FA is required for high-risk actions after login,,,,,,,,,,登录后进行高危操作需二次验证
admin.login.otp_input,6-digit code,,,,,,,,,,6位验证码
admin.login.otp_invalid,Invalid or expired code,,,,,,,,,,验证码无效或已过期
admin.login.otp_required,Please send the code first,,,,,,,,,,需要验证码，请先获取
admin.login.otp_resent,Code resent,,,,,,,,,,验证码已重新发送
admin.login.otp_send,Send code to Telegram,,,,,,,,,,发送验证码到 Telegram
admin.login.password,Password,,,,,,,,,,密码
admin.login.submit,Sign in,,,,,,,,,,登录
admin.login.title,Admin Login,,,,,,,,,,管理员登录
admin.login.username,Admin Account,,,,,,,,,,管理员账号
admin.nav.adjust,Adjustment,,,,,,,,,,余额调整
admin.nav.approvals,Approvals,,,,,,,,,,审批
admin.nav.audit,Audit Log,,,,,,,,,,审计日志
admin.nav.covers,Covers,,,,,,,,,,封面库
admin.nav.dashboard,Dashboard,,,,,,,,,,仪表盘
admin.nav.envelopes,Packets,,,,,,,,,,红包
admin.nav.export,Export,,,,,,,,,,导出
admin.nav.invites,Invites,,,,,,,,,,邀请活动
admin.nav.public_group_reports,Reports,,,,,,,,,,举报工单
admin.nav.public_groups,Public Groups,,,,,,,,,,公开群审查
admin.nav.queue,Tasks,,,,,,,,,,任务队列
admin.nav.recharge,Top-ups,,,,,,,,,,充值订单
admin.nav.reset,Balance Reset,,,,,,,,,,余额清零
admin.nav.settings,Settings,,,,,,,,,,设置
admin.nav.signout,Sign out,,,,,,,,,,退出登录
admin.nav.tags,Tags,,,,,,,,,,标签管理
admin.nav.users,Users,,,,,,,,,,用户
admin.no_permission,"""⛔ No permission.""","""⛔ Sin permisos.""","""⛔ Pas d’autorisation.""","""⛔ Keine Berechtigung.""",,,"""⛔ Bạn không có quyền.""",,,,"""⛔ 你没有权限。"""
admin.pagination.next,Next,,,,,,,,,,下一页
admin.pagination.prev,Prev,,,,,,,,,,上一页
admin.pagination.total,Total,,,,,,,,,,合计
admin.public_groups.approve,"""Approve""",,,,,,,,,,"""通过"""
admin.public_groups.bulk_checkbox_label,"""Select {name} for bulk actions""",,,,,,,,,,"""选择 {name} 进行批量操作"""
admin.public_groups.bulk_error,"""Bulk update failed, please retry.""",,,,,,,,,,"""批量操作失败，请稍后重试。"""
admin.public_groups.bulk_no_selection,"""Select at least one group.""",,,,,,,,,,"""请先选择群组。"""
admin.public_groups.bulk_note_placeholder,"""Optional note for audit trail""",,,,,,,,,,"""可填写备注，便于留痕"""
admin.public_groups.bulk_partial,"""Updated {updated} groups, {failed} failed.""",,,,,,,,,,"""成功 {updated} 个，失败 {failed} 个。"""
admin.public_groups.bulk_processing,"""Applying...""",,,,,,,,,,"""正在批量处理..."""
admin.public_groups.bulk_selected_label,"""Selected {count} groups""",,,,,,,,,,"""已选 {count} 个群组"""
admin.public_groups.bulk_success,"""Updated {updated} groups.""",,,,,,,,,,"""已成功更新 {updated} 个群组。"""
admin.public_groups.empty_high_risk,"""No high-risk groups for now.""",,,,,,,,,,"""当前没有高风险群。"""
admin.public_groups.empty_paused,"""No paused groups.""",,,,,,,,,,"""没有暂停的群组。"""
admin.public_groups.empty_removed,"""No removed groups.""",,,,,,,,,,"""没有被移除的群组。"""
admin.public_groups.empty_review,"""No groups waiting for review.""",,,,,,,,,,"""暂无待审核的公开群。"""
admin.public_groups.high_risk_tab,"""High Risk (score ≥ threshold)""",,,,,,,,,,"""风险较高（得分≥阈值）"""
admin.public_groups.members,"""Members""",,,,,,,,,,"""成员数"""
admin.public_groups.no_desc,"""No description provided.""",,,,,,,,,,"""未填写简介。"""
admin.public_groups.pause,"""Pause""",,,,,,,,,,"""暂停"""
admin.public_groups.paused_tab,"""Paused Groups""",,,,,,,,,,"""已暂停"""
admin.public_groups.remove,"""Remove""",,,,,,,,,,"""下架"""
admin.public_groups.removed_tab,"""Removed Groups""",,,,,,,,,,"""已移除"""
admin.public_groups.review_tab,"""Pending Review""",,,,,,,,,,"""待审核"""
admin.public_groups.reward_pool,"""Reward Pool""",,,,,,,,,,"""奖励池"""
admin.public_groups.risk_score,"""Risk Score""",,,,,,,,,,"""风险分"""
admin.public_groups.status,"""Status""",,,,,,,,,,"""状态"""
admin.public_groups.status_ok,"""Status updated to {status}""",,,,,,,,,,"""状态已更新为 {status}"""
admin.public_groups.subtitle,"""Audit risk scores, approve or pause groups, and respond to reports.""",,,,,,,,,,"""查看风险评分、审核上线、暂停或下架，处理举报与复核事项。"""
admin.public_groups.title,"""Public Group Review Board""",,,,,,,,,,"""公开交友群风控面板"""
admin.public_groups_reports.action_assign,"""Assign to (Telegram ID)""",,,,,,,,,,"""指派至（Telegram ID）"""
admin.public_groups_reports.action_assign_placeholder,"""e.g. 90001""",,,,,,,,,,"""例如 90001"""
admin.public_groups_reports.action_priority,"""Priority""",,,,,,,,,,"""优先级"""
admin.public_groups_reports.action_resolution_note,"""Resolution note""",,,,,,,,,,"""处理说明"""
admin.public_groups_reports.action_resolution_placeholder,"""Optional closing summary""",,,,,,,,,,"""可填写结案摘要或后续计划"""
admin.public_groups_reports.action_status,"""Status""",,,,,,,,,,"""调整状态"""
admin.public_groups_reports.action_success,"""Operation succeeded.""",,,,,,,,,,"""操作已成功完成。"""
admin.public_groups_reports.action_update,"""Save changes""",,,,,,,,,,"""保存变更"""
admin.public_groups_reports.actions_heading,"""Update case""",,,,,,,,,,"""更新工单"""
admin.public_groups_reports.activities_bonus_points,"""Extra Bonus""",,,,,,,,,,"""额外奖励"""
admin.public_groups_reports.activities_bulk_apply,"""Apply updates""",,,,,,,,,,"""套用更新"""
admin.public_groups_reports.activities_bulk_error,"""Bulk update failed.""",,,,,,,,,,"""批量操作失败，请稍后重试。"""
admin.public_groups_reports.activities_bulk_export_all,"""Export all""",,,,,,,,,,"""导出全部"""
admin.public_groups_reports.activities_bulk_export_selected,"""Export selected""",,,,,,,,,,"""导出已选"""
admin.public_groups_reports.activities_bulk_highlight_keep,"""No change""",,,,,,,,,,"""不变更"""
admin.public_groups_reports.activities_bulk_highlight_off,"""Disable""",,,,,,,,,,"""停用"""
admin.public_groups_reports.activities_bulk_highlight_on,"""Enable""",,,,,,,,,,"""启用"""
admin.public_groups_reports.activities_bulk_no_selection,"""Please select at least one activity.""",,,,,,,,,,"""请先选择活动。"""
admin.public_groups_reports.activities_bulk_partial,"""Updated {updated} activities, {failed} failed.""",,,,,,,,,,"""已更新 {updated} 个，{failed} 个失败。"""
admin.public_groups_reports.activities_bulk_pause,"""Pause""",,,,,,,,,,"""暂停"""
admin.public_groups_reports.activities_bulk_processing,"""Processing...""",,,,,,,,,,"""处理中..."""
admin.public_groups_reports.activities_bulk_resume,"""Resume""",,,,,,,,,,"""启用"""
admin.public_groups_reports.activities_bulk_selected_label,"""Selected {count} campaigns""",,,,,,,,,,"""已选 {count} 个活动"""
admin.public_groups_reports.activities_bulk_success,"""Updated {updated} activities.""",,,,,,,,,,"""已更新 {updated} 个活动。"""
admin.public_groups_reports.activities_caps,"""Limits""",,,,,,,,,,"""发放限制"""
admin.public_groups_reports.activities_create_submit,"""Create Campaign""",,,,,,,,,,"""创建活动"""
admin.public_groups_reports.activities_create_title,"""Create Join Bonus Campaign""",,,,,,,,,,"""新增入群奖励活动"""
admin.public_groups_reports.activities_daily_cap,"""Daily Cap""",,,,,,,,,,"""每日上限"""
admin.public_groups_reports.activities_description,"""Description""",,,,,,,,,,"""活动简介"""
admin.public_groups_reports.activities_empty,"""No campaigns yet. Create your first join bonus above.""",,,,,,,,,,"""尚无活动，可在左侧表单创建。"""
admin.public_groups_reports.activities_end_at,"""End Time""",,,,,,,,,,"""结束时间"""
admin.public_groups_reports.activities_existing,"""Existing Campaigns""",,,,,,,,,,"""现有活动"""
admin.public_groups_reports.activities_front_badge,"""Badge text""",,,,,,,,,,"""角标文字"""
admin.public_groups_reports.activities_front_cta_label,"""CTA label""",,,,,,,,,,"""按钮文字"""
admin.public_groups_reports.activities_front_cta_label_hint,"""Optional button text, e.g. 'Join now'.""",,,,,,,,,,"""例如「立即加入」，留空则使用默认提示。"""
admin.public_groups_reports.activities_front_cta_link,"""CTA link""",,,,,,,,,,"""按钮链接"""
admin.public_groups_reports.activities_front_preview,"""Front card preview""",,,,,,,,,,"""前台预览"""
admin.public_groups_reports.activities_front_priority,"""Display priority""",,,,,,,,,,"""展示优先级"""
admin.public_groups_reports.activities_front_priority_hint,"""Lower numbers appear first in MiniApp/Bot surfaces. Default: 100.""",,,,,,,,,,"""数字越小越靠前，默认 100。"""
admin.public_groups_reports.activities_front_subtitle,"""Front card subtitle""",,,,,,,,,,"""前台副标题"""
admin.public_groups_reports.activities_front_subtitle_hint,"""Short summary shown in MiniApp/Bot cards.""",,,,,,,,,,"""MiniApp/Bot 卡片下方的简短说明。"""
admin.public_groups_reports.activities_front_title,"""Front card title""",,,,,,,,,,"""前台标题"""
admin.public_groups_reports.activities_front_title_hint,"""Overrides the MiniApp/Bot card title; defaults to the campaign name.""",,,,,,,,,,"""用于 MiniApp/Bot 卡片的标题，留空则使用活动名称。"""
admin.public_groups_reports.activities_highlight_enabled,"""Enable MiniApp highlight slot""",,,,,,,,,,"""启用 MiniApp 置顶曝光"""
admin.public_groups_reports.activities_highlight_info,"""Highlight""",,,,,,,,,,"""曝光设置"""
admin.public_groups_reports.activities_highlight_slots,"""Highlight Slots""",,,,,,,,,,"""额外曝光位"""
admin.public_groups_reports.activities_name,"""Campaign Name""",,,,,,,,,,"""活动名称"""
admin.public_groups_reports.activities_no_end,"""No end date""",,,,,,,,,,"""无限期"""
admin.public_groups_reports.activities_report_alert_heading,"""Alerts detected in this range""",,,,,,,,,,"""以下活动需关注"""
admin.public_groups_reports.activities_report_conversions,"""Conversions""",,,,,,,,,,"""转化人数"""
admin.public_groups_reports.activities_report_end,"""End""",,,,,,,,,,"""结束日期"""
admin.public_groups_reports.activities_report_export_csv,"""Export CSV""",,,,,,,,,,"""导出 CSV"""
admin.public_groups_reports.activities_report_filter_alerts,"""Only show alerts""",,,,,,,,,,"""仅显示异常"""
admin.public_groups_reports.activities_report_grants,"""Grants""",,,,,,,,,,"""发放次数"""
admin.public_groups_reports.activities_report_link,"""View performance report""",,,,,,,,,,"""查看活动报表"""
admin.public_groups_reports.activities_report_points,"""Points""",,,,,,,,,,"""奖励星数"""
admin.public_groups_reports.activities_report_slack_failures,"""Slack failures""",,,,,,,,,,"""Slack 失败次数"""
